Model;Price;Diagonale;3D;Besonderheiten;Anschlüsse;Energieeffizienzklasse;Standfuß;Tuner;Bildwiederholfrequenz;Panel
LG Electronics 50PN6504;399;50"/127cm;nein;;1x USB 2.0, LAN, 1x optisch;B;24.70kg;1x DVB-C/-T-Tuner (MPEG-4 AVC);600Hz (interpoliert);Plasma
LG Electronics 50PB660V;499;50"/127cm;aktiv, 2D-3D-Konverter;Webbrowser, Webservices, DLNA-Client, Miracast, WiDi, DivX-/DivX-HD-Unterstützung;2x USB 2.0, LAN, WLAN (integriert), 1x CI+-Slot, 1x optisch;B;116.8x75.5x29.3cm;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);600Hz (interpoliert);Plasma
LG Electronics 50LB561V;519;50"/127cm;nein;USB-Recorder;2x USB 2.0, 1x CI+-Slot, 1x optisch;A+;13.80kg;1x DVB-C/-T/-T2/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Direct-lit), IPS
LG Electronics 50PN6500;542;50"/127cm;nein;Webservices;1x USB 2.0, LAN, 1x CI+-Slot, 1x optisch;;;;600Hz (interpoliert);Plasma
LG Electronics 50LB570V;579;50"/127cm;nein;Webbrowser, Webservices, USB-Recorder;3x USB 2.0, LAN, WLAN (optional), 1x CI+-Slot, 1x optisch;A+;;1x DVB-C/-T/-T2/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Edge-lit)
LG Electronics 50LN5406;579;50"/127cm;nein;;1x USB 2.0, 1x CI+-Slot, 1x optisch;A+;14.20kg;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);keine Angabe (nativ) 100Hz (interpoliert);LCD, LED (Direct-lit)
LG Electronics 50PB560V;599;50"/127cm;aktiv, 2D-3D-Konverter;DivX-/DivX-HD-Unterstützung;1x USB 2.0, 1x CI+-Slot, 1x optisch;B;23.40kg;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);600Hz (interpoliert);Plasma
LG Electronics 50LN5708;599;50"/127cm;nein;Webbrowser, Webservices, HbbTV, DLNA-Client, Miracast, USB-Recorder;3x USB 2.0, LAN, WLAN (optional), NFC, 1x CI+-Slot, 1x optisch;A+;;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Direct-lit)
LG Electronics 50PB690V;599;50"/127cm;aktiv, 2D-3D-Konverter;Webbrowser, Webservices, Miracast, USB-Recorder, DivX-/DivX-HD-Unterstützung;3x USB 2.0, LAN, WLAN (optional), NFC, 1x CI+-Slot, 1x optisch;;23.30kg;2x DVB-C/-T/-T2/-S/-S2-Tuner (MPEG-4 AVC);600Hz (interpoliert);Plasma
LG Electronics 50PB5600;645;50"/127cm;aktiv, 2D-3D-Konverter;DivX-/DivX-HD-Unterstützung;1x USB 2.0, 1x CI+-Slot, 1x optisch;A;24.00kg;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);600Hz (interpoliert);Plasma
LG Electronics 50LB580V;646;50"/127cm;nein;Webbrowser, Webservices, DLNA-Client, USB-Recorder;3x USB 2.0, LAN, WLAN (integriert), 1x CI+-Slot, 1x optisch;A;;1x DVB-C/-T/-T2/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Edge-lit)
LG Electronics 60PB5600;649;60"/152cm;aktiv, 2D-3D-Konverter;DivX-/DivX-HD-Unterstützung;1x USB 2.0, 1x CI+-Slot, 1x optisch;;;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);600Hz (interpoliert);Plasma
LG Electronics 55LN5758;649;55"/140cm;nein;Webbrowser, Webservices, HbbTV, DLNA-Client, Miracast, USB-Recorder;3x USB 2.0, LAN, WLAN (integriert), NFC, 1x CI+-Slot, 1x optisch;A+;18.70kg;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Direct-lit)
LG Electronics 50LB582V;671;50"/127cm;nein;Webbrowser, Webservices, DLNA-Client, USB-Recorder;3x USB 2.0, LAN, WLAN (integriert), 1x CI+-Slot, 1x optisch;A+;13.80kg;1x DVB-C/-T/-T2/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Edge-lit)
LG Electronics 50LB650V;689;50"/127cm;passiv, 2D-3D-Konverter, Dual Play, inkl. zwei Brillen;Webbrowser, Webservices, USB-Recorder;3x USB 2.0, LAN, WLAN (integriert), 1x CI+-Slot, 1x optisch;A+;;1x DVB-C/-T/-T2/-S/-S2-Tuner (MPEG-4 AVC);500Hz (interpoliert);LCD, LED (Edge-lit)
LG Electronics 55LB620V;689;55"/140cm;passiv, 2D-3D-Konverter, inkl. zwei Brillen;USB-Recorder, DivX-/DivX-HD-Unterstützung;1x USB 2.0, 1x CI+-Slot, 1x optisch;A+;17.80kg;1x DVB-C/-T/-T2/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Direct-lit), IPS
LG Electronics 50LN5778;719;50"/127cm;nein;Webbrowser, Webservices, HbbTV, DLNA-Client, Miracast, USB-Recorder;3x USB 2.0, LAN, WLAN (integriert), NFC, 1x CI+-Slot, 1x optisch;A+;14.20kg;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Direct-lit)
LG Electronics 50PA6500;729;50"/127cm;nein;;1x USB 2.0, Bluetooth, 1x CI+-Slot, 1x optisch;B;26.40kg;1x DVB-C/-T-Tuner (MPEG-4 AVC);600Hz (interpoliert);Plasma
LG Electronics 55LB6200;749;55"/140cm;passiv, 2D-3D-Konverter, inkl. zwei Brillen;USB-Recorder, DivX-/DivX-HD-Unterstützung;1x USB 2.0, 1x CI+-Slot, 1x optisch;A+;17.80kg;;50Hz (nativ), 100Hz (interpoliert);LCD, LED (Direct-lit), IPS
LG Electronics 60PB560V;749;60"/152cm;aktiv, 2D-3D-Konverter;DivX-/DivX-HD-Unterstützung;1x USB 2.0, 1x CI+-Slot, 1x optisch;;;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);600Hz (interpoliert);Plasma
LG Electronics 50PH6608;768;50"/127cm;aktiv, 2D-3D-Konverter;Webbrowser, Webservices, HbbTV, DLNA-Client, Miracast, USB-Recorder;3x USB 2.0, LAN, WLAN (optional), NFC, 1x CI+-Slot, 1x optisch;B;24.70kg;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);600Hz (interpoliert);Plasma
LG Electronics 50LN5758;769;50"/127cm;nein;Webbrowser, Webservices, HbbTV, DLNA-Client, Miracast, USB-Recorder;3x USB 2.0, LAN, WLAN (integriert), NFC, 1x CI+-Slot, 1x optisch;A+;14.20kg;1x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Direct-lit)
LG Electronics 55LB561V;769;55"/140cm;nein;USB-Recorder;2x USB 2.0, 1x CI+-Slot, 1x optisch;A+;;1x DVB-C/-T/-T2/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Direct-lit), IPS
LG Electronics 50LN575S;789;50"/127cm;aktiv, 2D-3D-Konverter;Webservices, DLNA-Client, Miracast;3x USB 2.0, LAN, WLAN (integriert), NFC, 1x CI+-Slot, 1x optisch;A+;;2x DVB-C/-T/-S/-S2-Tuner (MPEG-4 AVC);50Hz (nativ), 100Hz (interpoliert);LCD, LED (Edge-lit)
